id,sentence_index,tag,answer
9,3,F4,takut cedera kepala jadi darah tengkorak sebab tingkat tekan dalam tengkorak
9,4,F3,tingkat tekan dalam tengkorak sebab sakit kepala mual muntah turun sadar bahkan tinggal
9,5,F3,tentu bila memang jadi darah dalam tengkorak gejala sebut muncul tahun
9,6,F3,periksa eeg periksa lihat aktivitas listrik otak
9,7,F3,orang epilepsi lihat aktivitas gelombang listrik tingkat
9,8,F3,bila memang aktivitas listrik otak normal alami keluh keluh sebut baik anda periksa diri ke dokter spesialis saraf
9,9,F3,mungkin akan laku citra kepala
9,10,F3,hal yang tingkat tekan dalam tengkorak hanya darah juga tumor infeksi
9,11,F3,itu gejala anda keluh juga akibat lain buluh darah otak arteri venous malformation avm
9,12,F3,mana yang takut avm pecah buluh darah sebut
9,13,F3,hal telah sebut atas sakit kepala dapat upa sakit kepala tipe tegang
9,14,F3,sakit kepala tipe klaster
9,15,F3,migraine
9,16,F3,lain
9,17,F3,dapat baca sini sakit kepala sakit kepala
9,18,F3,jawab tanya kena ikalep
9,19,F3,ikalep buah obat isi asam valproat
9,20,F3,asam valproat memang sering untuk pasien epilepsi asam valproat punya efek bagai cegah serang migraine
9,21,F3,lebih detail dapat hubung dokter spesialis saraf
9,22,F5,itu rumah baik istirahat cukup perhati faktor faktor apa yang buat sakit kepala kumat
9,23,F5,juga konsumsi obat obat anti nyeri paracetamol bila sakit kumat
9,24,F5,guna obat baik dosis waktu sesuai anjur dokter
9,25,F1,jawab saya moga bantu andika surya
10,1,F1,halo fachriani
10,2,F1,terima kasih atas tanya
10,3,F3,darah menstruasi umum warna merah darah
10,4,F4,lama menstruasi keluar darah warna coklat hal dapat oleh bagai macam antara bagai ikut dapat jaring fibroid rahim
10,5,F4,sisa darah menstruasi ering
10,6,F4,kista cokelat pecah
10,7,F4,ganggu beku darah
10,8,F4,obstruksi darah menstruasi polip mioma lain
10,9,F4,besar uterus lain
10,10,F5,tahu pasti kondisi alami ini sangat saran anda segera unjung dokter spesialis bidan kandung laku rangkai periksa lebih lanjut periksa fisik tes darah usg obgyn lain sehingga pasti dari kondisi anda tahu akhir tangan tepat beri
10,11,F1,jelas dapat sampai moga manfaat
10,12,F1,salam dr jati
11,1,F1,terima kasih tanya alodokter com
11,2,F4,keluar gumpal darah vagina sebab tanda menstruasi normal sakit sebab menstruasi pcos kista ovarium mioma uteri tiroid kanker serviks
11,3,F5,pasti saran periksa langsung dokter spesialis kandung
11,4,F5,dokter laku periksa jalan lahir periksa usg kandung dalam beberapa kasus periksa darah pasti masalah medis andajika gumpal muncul keluar liang vagina saran di masuk dalam wadah kosong periksa dokter kandung
11,5,F1,moga manfaat dr previyanti
12,1,F1,halo terima kasih atas tanya
12,2,F3,asma masuk golong sakit atopik belum sembuh total bisa terus kambuh kambuh faktor risiko dimanagemen baik
12,3,F3,sakit kerap tanda sesak mengi juga batuk
12,4,F3,kambuh asma sering cetus stres lelah papar alergen substansi udara refluks asam lambung infeksi nafas konsumsi obat
12,5,F3,obat asma anda sebut kandung bahan aktif budesonide formoterol fumarate suatu obat golong kortikosteroid agonis beta aksi panjang bisa untuk reda serang asma kontrol asma tidak sering kambuh
12,6,F3,obat guna cara semprot lepas tutup kemas tari inhaler atas
12,7,F3,putar inhaler kanan ke kiri cepat hingga dengar suara klik
12,8,F3,buang napas
12,9,F3,letak inhaler mulut sembari sondong kepala sedikit belakang
12,10,F3,semprot inhaler lalu isap tarik napas kuat dalam
12,11,F2,anda laku langkah atas cara tepat
12,12,F2,sudah mesti obat hasil masuk tubuh cara benar
12,13,F6,ini tanda serang asma reda kambuh bisa minimal
12,14,F5,tetapi tetap asma baik tidak ada salah kembali periksa dokter dokter paru evaluasi apa lantas tangan tepat
12,15,F1,moga bantu
13,1,F1,hai
13,2,F4,keluh alami suami dapat akibat bagai mungkin seperti bronkhitis tuberkulosis tbc pleuritis radang selaput paru sakit asam lambung ganggu jantung gagal jantung serang jantung bagai
13,3,F3,pasti perlu periksa lebih lanjut dokter liput periksa fisik periksa kondisi paru paru jantung periksa tunjang tes darah ray ekg bagai
13,4,F5,jika keluh terus lanjut baik suami konsultasi dokter telusur sebab dan tangan tepat sesuai kondisi
13,5,F5,ikut anjur dapat laku istirahat tidur cukup
13,6,F5,makan cara atur gizi imbang
13,7,F5,hindar jenis makan terlalu asam pedas lemak makan goreng
13,8,F5,jangan langsung baring makan kumur air hangat beri sedikit garam bantu melembabkan tenggorok reda batuk
13,9,F5,batas aktivitas berat lebih
13,10,F5,kelola stres bijak
13,11,F5,baca laman artikel ikut batuk batuk nyeri dada belah kanan
13,12,F1,moga manfaat
13,13,F1,salam dr muliani sukiman
14,1,F1,halo nolaa terima kasih atas tanya alodokter
14,2,F3,periksa hamil guna testpack memang baik laku sudah jadi lambat menstruasi
14,3,F3,bila siklus menstruasi biasa jadi tiap hari kira siklus menstruasi di bulan desember tanggal desember
14,4,F3,bila belum alami menstruasi hingga tanggal desember dapat laku testpack guna kencing pertama pagi hari hasil dapat lebih akurat
14,5,F3,bila oleh hasil positif anda perlu ulang periksa hasil sebut benar
14,6,F3,bila hasil negatif anda ulang periksa hari periksa sebut bila juga dapat menstruasi
14,7,F3,bila hasil tetap negatif arti tidak sedang hamil
14,8,F4,laku hubung seksual penetrasi masuk penis vagina tetap milik risiko hamil
14,9,F4,cair pre ejakulat pria cair bening keluar penis penis alami ereksi saat alami stimulasi seksual kadang kandung sperma hidup meski mungkin sangat kecil cair pre ejakulat keluar dalam vagina tetap sebab hamil
14,10,F5,bila dan pasang memang hendak jadi hamil baik dan pasang timbang alat kontrasepsi cegah hamil
14,11,F5,diskusi bidan dokter kandung pilih alat kontrasepsi paling sesuai pasang anda
14,12,F5,ikut adalah artikel dapat baca kait cara pilih alat kontrasepsi
14,13,F1,sekian informasi saya moga manfaat dr irna cecilia
15,1,F1,halo terima kasih atas tanya
15,2,F3,hamil jadi hubung badan laku menstruasi
15,3,F3,hamil jadi sel sperma pria temu sel telur wanita
15,4,F3,sel telur baru mulai kembang ovarium indung telur mula menstruasi
15,5,F3,matang sel telur lepas ovarium tuju salur telur tuba falopi saat masa subur
15,6,F3,buah jadi waktu jam telur lepas
15,7,F3,bila saat jadi hubung seksual sperma masuk dalam vagina rahim sperma temu buah sel telur dan hamil jadi
15,8,F3,siklus menstruasi normal kisar hari hitung hari pertama menstruasi dengan hari pertama menstruasi ikut
15,9,F3,masa subur hitung dasar siklus menstruasi tiap bulan
15,10,F3,umum masa subur wanita  hari hari pertama menstruasi ikut
15,11,F3,hal laku wanita milik siklus menstruasi hari
15,12,F2,bagaimana siklus menstruasi pasang
15,13,F3,ini untuk masa subur
15,14,F3,sperma hidup dalam rahim wanita lama hari
15,15,F3,demikian sperma dapat buah sel telur ketika masa subur pasang mulai sperma ada dalam rahim
15,16,F3,pasang hendak hamil sila anda segra konsultasi dokter spesialis bidan kandung lebih
15,17,F3,hindar obat gugur kandung anjur dokter
15,18,F3,aborsi laku indikasi medis milik risiko medis sendiri misal darah rusa rahim infeksi rahim radang panggul mandul infertilitas
15,19,F3,samping aborsi laku cara ilegal indikasi medis kena sangsi hukum laku aborsi yang minta aborsi upa penjara tahun denda miliar rupiah
15,20,F5,kemudian hari anda ingin hamil hindar hubung seksual luar ikat kawin
15,21,F5,tidak mungkin sila alat kontrasepsi
15,22,F1,moga bantu
15,23,F1,dr aloisia
16,1,F1,terima kasih lily febriana atas tanya
16,2,F3,pola makan baik makan porsi sedikit sering bukan makan jarang sekali makan porsi makan langsung banyak
16,3,F3,tiap orang punya kapasitas lambung beda beda
16,4,F3,kapasitas lambung beda cepat kenyang orang pengaruh faktor biasa
16,5,F3,lama kenyang tahan tubuh pengaruh jenis makan makan
16,6,F3,sebut lihat pada kadar indeks glikemik
16,7,F3,indeks glikemik cepat buah makan ubah jadi gula tubuh
16,8,F3,makin tinggi indeks glikemik makin cepat makan sebut ubah jadi gula tubuh jadi lonjak kadar gula darah lebih cepat lapar
16,9,F3,bagai contoh pasta milik indeks glikemik lebih rendah banding nasi putih
16,10,F3,sebut orang makan nasi putih alami tingkat kadar gula darah tinggi cepat lebih cepat rasa lapar bila banding orang konsumsi pasta
16,11,F5,lama sebut timbul keluh ada perlu khawatir
16,12,F5,juga baca artikel kait tips hidup sehat
16,13,F1,jawab saya moga bantu
16,14,F1,andika surya
17,1,F1,hai fendy terima kasih tanya alodokter
17,2,F3,baik lambung maupun paru letak area dekat di dada hingga perut atas
17,3,F3,ganggu dua organ terkadang muncul keluh hampir rupa
17,4,F3,dari untuk beda perlu periksa fisik langsung dokter juga bantu tes tunjang rontgen laboratorium usg
17,5,F3,tilik keluh anda nyeri area lambung hingga punggung kiri sesak napas nyeri tarik napas jadi beberapa ikut ganggu salur cerna misal gastritis radang mukosa lambung
17,6,F3,gerd refluks asam lambung esofagus
17,7,F3,tukak lambung pankreatitis radang pankreas
17,8,F3,kolangitis radang salur empedu
17,9,F3,ganggu salur napas misal bronkhitis radang salur udara tuju paru efusi pleura tumpu cair rongga selaput paru
17,10,F3,pneumothoraks tumpu udara rongga selaput paru
17,11,F3,tuberkulosis flek paru
17,12,F3,pneumonia radang parenkim paru
17,13,F3,ganggu sistem organ misal sakit jantung koroner ketidakseimbangan asam basa hiperkolesterolemia kolesterol darah tinggi saraf tulang belakang jepit ganggu cemas lebih bagai
17,14,F5,apabila keluh asa sangat beban baik jangan tangan orang diri
17,15,F5,periksa langsung keluh kepada dokter fasilitas sehat dekat
17,16,F5,demikian mungkin yang bahaya deteksi cepat tangan bisa lebih dini laku
17,17,F5,itu ikut langkah tangan awal bisa laku makan atur porsi sedikit sedikit sering
17,18,F5,kurang konsumsi makan terlalu pedas asam kandung banyak gas
17,19,F5,batas konsumsi kafein kopi teh soda mint cokelat
17,20,F5,kompres area tubuh tidak nyaman air hangat
17,21,F5,batas aktivitas fisik terlalu lelah
17,22,F5,jangan stres cemas lebih rajin olahraga
17,23,F1,moga bantu
17,24,F1,dr nadia nurotul fuadah
18,1,F1,halo angel terima kasih atas tanya
18,2,F3,banyak jenis obat anti nyeri analgetik kerap ialah golong salisilat paracetamol oains obat anti inflamasi non steroid opioid bagai
18,3,F3,semua obat masuk bagai obat bebas bisa sembarang konsumsi periksa ke dokter lebih bila rupa orang derita hipertensi
18,4,F3,beri beberapa jenis obat anti nyeri derita hipertensi picu tingkat tekan darah dadak bila lambat tangan picu jadi stroke komplikasi
18,5,F3,itu beberapa jenis obat anti nyeri bisa interaksi negatif beberapa jenis obat anti hipertensi
18,6,F5,itu bila alami nyeri belum sempat periksa diri dokter jauh lebih aman anda konsumsi obat anti nyeri jenis paracetamol
18,7,F5,obat relatif aman konsumsi derita hipertensi
18,8,F5,itu nyeri reda bisa aplikasi kompres hangat area tubuh nyeri banyak istirahat jangan cemas takut lebih
18,9,F5,apabila nyeri makin jadi tidak tahan sembarang konsumsi obat baik periksa diri ke dokter
18,10,F5,konsumsi obat anti nyeri jenis boleh laku derita hipertensi asal bawah resep awas dokter periksa
18,11,F1,moga bantu
19,1,F1,halo
19,2,F4,saja mual bisa sakit jadi tentu mual timbul makan asam lambung
19,3,F4,mual sebab beberapa faktor infeksi virus hamil muda racun makan kenyang gerd maag efek obat dan lain
19,4,F3,gejala asam lambung lain rasa panas dada bisa timbul makan belum
19,5,F3,rasa perih ulu hati
19,6,F3,mual muntah begah kembung terkadang keluh rasa pedih tenggorok asam lambung naik
19,7,F5,atas asam lambung cara sederhana bisa coba lain makan porsi kecil
19,8,F5,hindar makan terlalu kenyang
19,9,F5,hindar makan asam pedas minyak
19,10,F5,hindar soda alkohol teh kopi
19,11,F5,makan obat maag omeprazol ranitidin lain
19,12,F5,hindar baring habis makan
19,13,F5,makan jam jelang tidur
19,14,F5,baca topik hilang mual makan
19,15,F1,moga manfaat
19,16,F1,dr yusi
20,1,F1,halo afleni
20,2,F3,darah hamil jadi usia hamil muda hamil lanjut
20,3,F3,hamil lanjut darah flek hamil picu beberapa faktor stres aktivitas fisik berat buat tubuh lelah
20,4,F3,posisi plasenta tidak normal plasenta previa letak ari ari dekat tutup jalan lahir solusio plasenta lepas ari ari dinding rahim tanda nyeri perut keluar darah
20,5,F3,hubung seksual lebih
20,6,F3,infeksi vagina
20,7,F3,polip leher rahim
20,8,F3,sudah laku periksa hasil baik perlu panik tetap jaga hamil upaya lebih banyak istirahat perlu laku bed rest istirahat total banyak minum air putih upaya hindar stres dan aktivitas fisik berat
20,9,F3,flek dengan nyeri perut perut asa kencang gera janin kurang segera periksa diri untuk tahu kondisi hal dapat tingkat risiko lahir prematur stres janin
20,10,F5,tetap laku periksa kala tiap bulan pasuk bulan periksa hamil dilakuakn tiap minggu sekali nanti tiap minggu bulan
20,11,F1,moga manfaat dr adhi p
21,1,F1,halo rohmahmila
21,2,F1,terima kasih atas tanya
21,3,F3,dar informasi anda menstruasi punya ciri normal adalah siklus hari dengan hari jadi menstruasi hari dengan hari keluar darah menstruasi kurang lebih jumlah ml
21,4,F3,kondisi anda alami keluh utama upa keluar darah menstruasi sedikit mana biasa kurang ml bahasa medis sebut bagai hypomenorrhea
21,5,F3,sering jadi hypomenorrhea karena stres psikologis
21,6,F3,orang wanita alami stres hormon dalam tubuh bagi otak atur menstruasi hipotalamus alami ganggu
21,7,F3,stres psikologis kondisi juga sebab oleh turun usia alat kontrasepsi ganggu kelenjar tiroid sindrom ovarium polikistik ganggu sehat akibat ketidakseimbangan hormonal
21,8,F3,sedang benjol ketiak dapat oleh bengkak kelenjar getah bening lipoma sel sel lemak tumbuh cara lebih kista kantung isi cair kulit abses kumpul nanah dalam kulit kanker
21,9,F5,kondisi hypomenorrhea alami lebih tiga bulan tiga siklus menstruasi turut turut kami sangat saran segera temu dokter spesialis bidan kandung diskusi masalah agar anda laku sedang periksa lebih lanjut segala nya terang jelas akhir tangan tepat dapat beri
21,10,F5,klik artikel bawah yang sesuai tanya menstruasi
21,11,F1,jelas dapat sampai moga manfaat salam dr jati
22,1,F1,halo ingrid terima kasih atas tanya alodokter
22,2,F3,masa nifas hamil biasa hingga minggu sekitar hari
22,3,F3,masa sebut memang saran laku hubung seksual suami kesiap psikologis ibu
22,4,F3,rentang waktu ibu sebut memang luar masa nifas sudah untuk laku hubung seksual suami
22,5,F3,yang perlu perhati kondisi hormonal wanita lahir kembali normal belum hamil pada umum subur wanita kembali masa nifas selesai telah menstruasi ikut
22,6,F3,apabila beri asi eksklusif mungkin hamil hubung seksual suami kata kecil mungkin
22,7,F3,pilih kontrasepsi gantung butuh kesiap pasang suami istri
22,8,F3,kondom tingkat hasil kondom laki laki cegah hamil persen
22,9,F3,kondom wanita milik bentuk mangkuk tekstur lentur tipis milik tingkat hasil cegah hamil sekitar persen
22,10,F5,tingkat hasil hamil lebih tinggi baik laku pasang akdr alat kontrasepsi rahim mana tingkat hasil besar persen
22,11,F5,baik konsultasi lebih dengan bidan dokter spesialis kandung spog kena pilih kontrasepsi baik cara tingkat efektivitas efek samping
22,12,F1,informasi dapat ikan
22,13,F1,moga bantu
22,14,F1,dr winda indriati
23,1,F1,hai alf terima kasih atas tanya
23,2,F3,akan bantu jawab iud alat kontrasepsi rahim akdr spiral alat kontrasepsi masuk dalam rahim
23,3,F3,iud umum tipe hormonal iud copper iud akdr tembaga tuju sama sama cegah jadi buah
23,4,F3,iud baik kondisi mana ibu metode kontrasepsi jangka panjang mana subur pengaruh pada kontrasepsi hormonal perlu waktu subur seperti guna kb hormonal
23,5,F3,dapat milik kontraindikasi kb hormonal
23,6,F3,ibu susu pengaruh produksi asi
23,7,F3,itu iud milik manfaat tidak tambah berat badan kurang risiko hamil luar kandung endometriosis kurang darah kram menstruasi lain
23,8,F3,ikut adalah risiko dapat jadi guna iud infeksi jarang
23,9,F3,hamil sangat jarang
23,10,F3,masalah menstruasi
23,11,F3,iud timbul gejala darah menstruasi jadi lebih lama lebih banyak lebih sakit lama beberapa bulan pasang iud muncul flek periode menstruasi keram perut
23,12,F3,gejala umum timbul jenis akdr tembaga
23,13,F3,guna iud hormonal kurang masalah darah kram perut
23,14,F3,kasus jarang akdr tembus dinding rahim perforasi
23,15,F3,kondisi akdr segera lepas
23,16,F3,ekspulsi dari iud pasang biasa keluar
23,17,F3,kondisi jadi beberapa bulan pertama umum jadi ibu baru lahir pada wanita belum pernah hamil
23,18,F3,sebab biasa pasang iud ibu periksa raba tidak benang plastik iud dalam vagina lalu periksa usg
23,19,F6,erti asa namun perlu tahu rasa cemas buruk kondisi darah jadi lebih banyak kram makin sakit
23,20,F6,beberapa kondisi saja kb spiral copot pasang
23,21,F5,kece ibu rasa tidak benang iud dalam vagina dengan cara periksa diri dokter kandung
23,22,F1,moga bantu
24,1,F1,halo deswita
24,2,F3,walaupun sering bak rupa salah satu tanda hamil pasti apabila ingin tunda hamil anda minum alat kontrasepsi emergensi anda sebut mungkin hamil jadi kecil
24,3,F3,sering bak rupa salah satu gejala infeksi salur kemih isk bukan efek samping kontrasepsi
24,4,F3,isk infeksi salur kemih sebab bakteri pindah lubang anus lubang salur kemih
24,5,F3,isk lebih mudah jadi wanita jarak lubang anus lubang kemih lebih dekat wanita pria
24,6,F3,pindah bakteri umum jadi hubung badan biasa seka malu kemih belakang depan biasa balut jenis tampon pakai kontrasepsi jenis diafragma
24,7,F3,beberapa gejala dapat alami derita nyeri kemih sering bak air seni keluar sedikit ubah warna air seni jadi lebih pekat darah bau air seni enak rasa tidak tuntas selesai bak demam nyeri perut bawah
24,8,F5,apabila gejala tetap sila pasti dengan periksa diri dokter biasa periksa dokter akan saran laku periksa air kencing
24,9,F5,bila memang bukti isk akan obat antibiotik
24,10,F5,dapat laku anjur ikut segera kemih hubung badan bersih salur kemih kontaminasi bakteri mungkin pindah hindar hubung badan obat banyak minum air putih jangan tahan bak hindar balut jenis tampon biasa seka malu depan belakang kemih hindar pakai celana ketat celana denga bahan mudah serap keringat bila ingin tunda hamil baik anda konsultasi dokter spesialis kandung metode kontrasepsi tepat anda
24,11,F1,moga informasi manfaat salam
25,1,F1,dear nur
25,2,F3,flek darah jadi apat rupa menstruasi anda alami volumnya sedikit
25,3,F3,volume normal darah haid sampai ml per hari
25,4,F3,itu pula rupa flek jadi luar siklus menstruasi belum menstruasi dapat oleh ketidakseimbangan hormonal
25,5,F3,stres
25,6,F3,lelah
25,7,F3,radang panggul
25,8,F3,kista ovarium
25,9,F3,erosi vagina
25,10,F3,polip serviks
25,11,F3,polip rahim
25,12,F3,endometriosis
25,13,F3,infeksi salur telur
25,14,F3,beku darah
